neighborhood group,shape id,point id,longitude,latitude,,,,,,,,
Ballard,0,0,-122.4012908,47.69567075,,,,,,,,
Ballard,0,1,-122.3988875,47.69012455,,,,,,,,
Ballard,0,2,-122.3987158,47.68677343,,,,,,,,
Ballard,0,3,-122.3659285,47.68677343,,,,,,,,
Ballard,0,4,-122.3661002,47.67602528,,,,,,,,
Ballard,0,5,-122.3604354,47.67602528,,,,,,,,
Ballard,0,6,-122.3607787,47.66145974,,,,,,,,
Ballard,0,7,-122.3669585,47.66145974,,,,,,,,
Ballard,0,8,-122.3638686,47.65822241,,,,,,,,
Ballard,0,9,-122.3657569,47.65775991,,,,,,,,
Ballard,0,10,-122.3655852,47.65521613,,,,,,,,
Ballard,0,11,-122.3894461,47.66631537,,,,,,,,
Ballard,0,12,-122.395111,47.66539053,,,,,,,,
Ballard,0,13,-122.4045523,47.66747141,,,,,,,,
Ballard,0,14,-122.4134787,47.68007054,,,,,,,,
Ballard,0,15,-122.405239,47.6887379,,,,,,,,
Ballard,0,16,-122.4095305,47.69428426,,,,,,,,
Beacon Hill,1,0,-122.3193698,47.57206485,,,,,,,,
Beacon Hill,1,1,-122.3166232,47.57310716,,,,,,,,
Beacon Hill,1,2,-122.3131042,47.56905362,,,,,,,,
Beacon Hill,1,3,-122.3133617,47.56413103,,,,,,,,
Beacon Hill,1,4,-122.3105292,47.56140893,,,,,,,,
Beacon Hill,1,5,-122.3041778,47.55990303,,,,,,,,
Beacon Hill,1,6,-122.2986846,47.56129309,,,,,,,,
Beacon Hill,1,7,-122.292934,47.5607139,,,,,,,,
Beacon Hill,1,8,-122.28478,47.54449399,,,,,,,,
Beacon Hill,1,9,-122.2898441,47.54437812,,,,,,,,
Beacon Hill,1,10,-122.2902732,47.5451313,,,,,,,,
Beacon Hill,1,11,-122.2961097,47.54524717,,,,,,,,
Beacon Hill,1,12,-122.2956805,47.53974293,,,,,,,,
Beacon Hill,1,13,-122.303062,47.54223439,,,,,,,,
Beacon Hill,1,14,-122.3082118,47.54733284,,,,,,,,
Beacon Hill,1,15,-122.3155074,47.55109842,,,,,,,,
Beacon Hill,1,16,-122.3213439,47.55915006,,,,,,,,
Beacon Hill,1,17,-122.3202281,47.56679507,,,,,,,,
Capitol Hill,2,0,-122.3222065,47.64128497,,,,,,,,
Capitol Hill,2,1,-122.3195457,47.64249939,,,,,,,,
Capitol Hill,2,2,-122.315855,47.64296202,,,,,,,,
Capitol Hill,2,3,-122.3125076,47.63995486,,,,,,,,
Capitol Hill,2,4,-122.3108768,47.63787288,,,,,,,,
Capitol Hill,2,5,-122.3108768,47.63665836,,,,,,,,
